mic1,mic2,mic3,mic4,mic5,angle
163.65,167.95,189.96,136.43,184.33,24
181.98,183.75,204.56,160.13,211.67,25
134.18,133.19,150.03,130.9,164.01,25
96.56,92.94,110.09,93.42,116.67,25
72.87,67.39,81.36,68.59,81.21,25
57.63,53.1,62.54,53.01,58.64,25
48.72,46.36,54.15,45.59,48.05,25
118.18,113.84,130.1,95.99,118.07,25
257.23,255.68,280.42,199.75,250.71,25
348.92,350.5,356,255.57,328.54,25
352.54,347.87,352.89,269.64,366.77,25
335.31,325.94,354.38,285.59,395.09,25
339.23,316.41,356.35,298.46,420.63,24
295.37,265.29,304.07,265.49,374.43,25
204.83,185.31,210.09,181.58,247.76,25
128.65,120.85,139.28,115.33,151.54,25
85.79,86.74,99.46,81.46,102.27,25
63.9,66.3,71.99,60.2,75.13,26
52.47,53.01,56.7,46.24,57.86,26
46.75,48.46,48.71,38.95,50.04,26
53.08,61.63,51.24,47.82,60.54,26
56.87,68.74,54.23,55.56,65.54,27
53.82,72.93,59.14,53.62,66.48,28
57.73,89.46,70.79,66.71,77.48,29
57.38,85.17,68.5,71.63,74.38,29
105.73,147.01,135.2,109.34,123.21,30
205.07,251.95,252,185.2,228.05,30
332.93,356.44,368.9,273.55,365.25,30
415.68,435.6,466,332.58,442.11,31
342.92,365.27,413.65,287.6,367.47,30
249.96,261.39,306.24,221.09,281.42,30
282.02,279.61,319.03,246.15,326.64,30
358.27,349.36,382.85,292.69,415.98,31
378.22,359.23,401.09,302.4,426.99,31
336.52,314.66,360.65,273.05,368.19,31
253.08,237.13,264,192.7,261,32
169.85,159.37,171.24,127.34,170.16,31
174.7,176.65,177.58,134.83,193.27,32
248.47,245.66,245.67,190.61,294.5,32
257.81,249.89,259.22,208.49,321.75,32
269.61,273.61,299.99,239.33,334.78,32
324.06,340.25,385.34,306.35,391.06,32
289.85,302.6,359.36,285.62,360.19,32
201.71,203.1,254.24,199.5,256.11,32
191.33,190.62,229.5,181.33,250.08,32
317.16,314.64,348.07,262.93,378.42,32
447.37,444.62,469.72,342.09,474.8,32
500.02,494.52,504.04,368.34,516.97,32
536.83,540.89,548.96,400.93,565.03,32
590.94,575.61,608.03,471.25,642.23,32
546.26,512.92,543.95,442.68,613.91,32
427.33,417.58,436.4,342.67,467.41,32
371.95,373.07,401.3,303.62,402.91,32
299.54,303.23,336.61,247.15,337.69,32
287.33,300.49,348.75,232.97,307.72,32
348.61,373.17,452.38,295.62,369.53,32
433.42,445.76,531.33,370.86,439.32,32
497.05,497.99,565.12,412.05,504.67,32
473.12,468.83,516.05,387.64,494.79,32
368.36,357.99,387.18,301.99,387.31,32
250.81,246.35,264.69,208.52,276,32
215.76,213.43,229.7,175.28,234.4,32
192.45,188.84,205.22,152.68,206.96,32
149.2,148.28,161.37,116.73,163.71,32
114.68,115.39,122.94,90.09,130.14,32
169.1,182.14,172.45,137.14,213.5,32
297.66,318.1,293.2,214.05,340.92,32
321.25,335.5,312.71,217.85,336.66,32
239.14,248.01,236.11,172.98,257.93,32
155.4,159.07,157.65,117.29,172.14,32
129.39,137.05,141.08,102.81,147.45,32
254.47,253.44,234.99,178.44,269.87,32
379.03,361.05,338.51,256.64,400.7,32
330.97,307,300.97,234.1,356.14,32
249.23,229.07,231.9,192.46,284.83,32
202.98,193.65,224.54,179.81,281.57,32
152.31,150.55,187.94,148.82,238.5,32
158.85,168.46,209.25,155.12,236.35,32
224.43,254.78,314.31,220.57,333,32
250.76,297.2,366.28,252.33,401.85,32
219.08,265.55,328.37,228.5,370.13,32
161.91,195.96,238.07,174.71,275.64,32
176.77,196.7,234.69,177.96,275.09,32
257.2,258.28,302.97,238.7,353.94,32
270.73,259.58,302.03,241.95,356.84,32
229.74,228.7,270.46,214.72,327.51,32
199.98,211.39,259.96,202.9,316.99,32
173.22,184.43,238.7,185.98,285.44,32
148.49,151.47,193.19,159.45,248.41,32
124.11,122.8,145.05,127.2,206.86,32
94.18,94.69,107.01,92.92,148.12,32
70.66,71.89,81.19,65.23,97.62,32
94.49,96.32,105.96,80.66,114.54,32
164.78,156.17,179.37,137.72,196.99,32
172.53,162.54,201.66,156.5,226.64,32
154.35,155.35,196.33,144.55,196.21,32
189.32,201.56,251.15,167.47,218.34,32
219.05,239.06,294.35,195.93,258.1,32
224.29,250.75,287.01,194.05,246.34,32
198.09,222.18,239.43,159.13,206.49,32
176.29,184.32,205.52,144,210.32,32
